# timestamps [seconds],pts
329392.524526,2543088
329392.558036,2545284
329392.591547,2547480
329392.625057,2549676
329392.658568,2551872
329392.692078,2554069
329392.725588,2556265
329392.759099,2558461
329392.792609,2560657
329392.826120,2562853
329392.859630,2565049
329392.893140,2567245
329392.926651,2569441
329392.960161,2571637
329392.993672,2573833
329393.027182,2576030
329393.060692,2578226
329393.094203,2580422
329393.127713,2582618
329393.161224,2584814
329393.194734,2587010
329393.228244,2589206
329393.261755,2591402
329393.295265,2593598
329393.328776,2595795
329393.362286,2597991
329393.395796,2600187
329393.429307,2602383
329393.462817,2604579
329393.496328,2606775
329393.529838,2608971
329393.563348,2611167
329393.596859,2613363
329393.630369,2615559
329393.663880,2617756
329393.697390,2619952
329393.730900,2622148
329393.764411,2624344
329393.797921,2626540
329393.831432,2628736
329393.864942,2630932
329393.898452,2633128
329393.931963,2635324
329393.965473,2637520
329393.998984,2639717
329394.032494,2641913
329394.066004,2644109
329394.099515,2646305
329394.133025,2648501
329394.166536,2650697
329394.200046,2652893
329394.233556,2655089
329394.267067,2657285
329394.300577,2659481
329394.334088,2661678
329394.367598,2663874
329394.401108,2666070
329394.434619,2668266
329394.468129,2670462
329394.501640,2672658
329394.535150,2674854
329394.568660,2677050
329394.602171,2679246
329394.635681,2681443
329394.669192,2683639
329394.702702,2685835
329394.736212,2688031
329394.769723,2690227
329394.803233,2692423
329394.836744,2694619
329394.870254,2696815
329394.903764,2699011
329394.937275,2701207
329394.970785,2703404
329395.004296,2705600
329395.037806,2707796
329395.071316,2709992
329395.104827,2712188
329395.138337,2714384
329395.171848,2716580
329395.205358,2718776
329395.238868,2720972
329395.272379,2723169
329395.305889,2725365
329395.339400,2727561
329395.372910,2729757
329395.406420,2731953
329395.439931,2734149
329395.473441,2736345
329395.506952,2738541
329395.540462,2740737
329395.573972,2742933
329395.607483,2745130
329395.640993,2747326
329395.674504,2749522
329395.708014,2751718
329395.741524,2753914
329395.775035,2756110
329395.808545,2758306
329395.842056,2760502
329395.875566,2762698
329395.909076,2764894
329395.942587,2767091
329395.976097,2769287
329396.009608,2771483
329396.043118,2773679
329396.076628,2775875
329396.110139,2778071
329396.143649,2780267
329396.177160,2782463
329396.210670,2784659
329396.244180,2786856
329396.277691,2789052
329396.311201,2791248
329396.344712,2793444
329396.378222,2795640
329396.411732,2797836
329396.445243,2800032
329396.478753,2802228
329396.512264,2804424
329396.545774,2806620
329396.579284,2808817
329396.612795,2811013
329396.646305,2813209
329396.679816,2815405
329396.713326,2817601
329396.746836,2819797
329396.780347,2821993
329396.813857,2824189
329396.847368,2826385
329396.880878,2828582
329396.914388,2830778
329396.947899,2832974
329396.981409,2835170
329397.014920,2837366
329397.048430,2839562
329397.081940,2841758
329397.115451,2843954
329397.148961,2846150
329397.182472,2848346
329397.215982,2850543
329397.249492,2852739
329397.283003,2854935
329397.316513,2857131
329397.350024,2859327
329397.383534,2861523
329397.417044,2863719
329397.450555,2865915
329397.484065,2868111
329397.517576,2870308
329397.551086,2872504
329397.584596,2874700
329397.618107,2876896
329397.651617,2879092
329397.685128,2881288
329397.718638,2883484
329397.752148,2885680
329397.785659,2887876
329397.819169,2890072
329397.852680,2892269
329397.886190,2894465
329397.919700,2896661
329397.953211,2898857
329397.986721,2901053
329398.020232,2903249
329398.053742,2905445
329398.087252,2907641
